"","x"
"Node_1",1
"Node_2",1
"Node_3",1
"Node_4",1
"Node_5",1
"Node_6",1
"Node_7",1
"Node_8",1
"Node_9",1
"Node_10",1
"Node_11",1
"Node_12",1
"Node_13",1
"Node_14",1
"Node_15",1
"Node_16",1
"Node_17",1
"Node_18",1
"Node_19",1
"Node_20",1
"Node_21",2
"Node_22",2
"Node_23",2
"Node_24",2
"Node_25",2
"Node_26",2
"Node_27",2
"Node_28",2
"Node_29",2
"Node_30",2
"Node_31",2
"Node_32",2
"Node_33",2
"Node_34",2
"Node_35",2
"Node_36",2
"Node_37",2
"Node_38",2
"Node_39",2
"Node_40",2
"Node_41",2
"Node_42",2
"Node_43",2
"Node_44",2
"Node_45",2
"Node_46",3
"Node_47",3
"Node_48",3
"Node_49",3
"Node_50",3
"Node_51",3
"Node_52",3
"Node_53",3
"Node_54",3
"Node_55",3
"Node_56",3
"Node_57",3
"Node_58",3
"Node_59",3
"Node_60",3
"Node_61",3
"Node_62",3
"Node_63",3
"Node_64",3
"Node_65",3
"Node_66",3
"Node_67",3
"Node_68",3
"Node_69",3
"Node_70",3
"Node_71",3
"Node_72",3
"Node_73",3
"Node_74",3
"Node_75",3
"Node_76",4
"Node_77",4
"Node_78",4
"Node_79",4
"Node_80",4
"Node_81",4
"Node_82",4
"Node_83",4
"Node_84",4
"Node_85",4
"Node_86",4
"Node_87",4
"Node_88",4
"Node_89",4
"Node_90",4
"Node_91",4
"Node_92",4
"Node_93",4
"Node_94",4
"Node_95",4
"Node_96",4
"Node_97",4
"Node_98",4
"Node_99",4
"Node_100",4
"Node_101",4
"Node_102",4
"Node_103",4
"Node_104",4
"Node_105",4
"Node_106",4
"Node_107",4
"Node_108",4
"Node_109",4
"Node_110",4
"Node_111",0
"Node_112",0
"Node_113",0
"Node_114",0
"Node_115",0
"Node_116",0
"Node_117",0
"Node_118",0
"Node_119",0
"Node_120",0
"Node_121",0
"Node_122",0
"Node_123",0
"Node_124",0
"Node_125",0
"Node_126",0
"Node_127",0
"Node_128",0
"Node_129",0
"Node_130",0
"Node_131",0
"Node_132",0
"Node_133",0
"Node_134",0
"Node_135",0
"Node_136",0
"Node_137",0
"Node_138",0
"Node_139",0
"Node_140",0
"Node_141",0
"Node_142",0
"Node_143",0
"Node_144",0
"Node_145",0
"Node_146",0
"Node_147",0
"Node_148",0
"Node_149",0
"Node_150",0
