# QIIME v1.3.0-dev OTU table
#OTU ID	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	 Consensus Lineage
FJ479483.1.1455	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteria;D_3__Subgroup 4;D_4__RB41;D_5__uncultured Acidobacteria bacterium;D_6__uncultured Acidobacteria bacterium
New.CleanUp.ReferenceOTU318	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Acidimicrobiales;D_4__Iamiaceae;D_5__Iamia;D_6__uncultured bacterium
KJ589933.1.1476	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	304.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia;D_3__Acidimicrobiales;D_4__uncultured;D_5__uncultured Acidimicrobidae bacterium;D_6__uncultured Acidimicrobidae bacterium
New.CleanUp.ReferenceOTU3350	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces;D_6__Actinomyces naeslundii
New.CleanUp.ReferenceOTU966	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces;D_6__uncultured Actinomyces sp.
New.CleanUp.ReferenceOTU3306	2169.0	2246.0	3400.0	2604.0	2.0	63.0	1949.0	4308.0	3857.0	4590.0	1665.0	59.0	4199.0	2268.0	1.0	174.0	139.0	537.0	1.0	1616.0	7611.0	6210.0	1.0	13959.0	681.0	8.0	1.0	30.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces;D_6__uncultured bacterium
New.CleanUp.ReferenceOTU2039	741.0	1830.0	1119.0	2065.0	1.0	56.0	1754.0	2955.0	2847.0	2932.0	1186.0	1.0	2834.0	1769.0	1.0	28.0	6.0	540.0	1.0	1273.0	5231.0	4312.0	1.0	10377.0	444.0	1.0	11.0	1.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces
JQ467913.1.1316	1.0	1.0	118.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__uncultured
New.CleanUp.ReferenceOTU3123	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae
New.CleanUp.ReferenceOTU3227	43.0	1.0	1.0	1.0	1.0	35.0	1.0	1.0	1.0	59.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	438.0	1.0	1.0	1.0	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinopolysporales;D_4__Actinopolysporaceae;D_5__Actinopolyspora
